Tên sản phẩm,Giá bán,Bộ vi xử lý - Công nghệ CPU,Bộ vi xử lý - Số hiệu CPU,Bộ vi xử lý - Số nhân,Bộ vi xử lý - Số luồng,Bộ vi xử lý - Xung nhịp cơ bản,Bộ vi xử lý - Xung nhịp tối đa,Bộ vi xử lý - Bộ nhớ đệm,Đồ họa và Âm thanh - Card on-board,Đồ họa và Âm thanh - Card đồ hoạ rời,"Bộ nhớ RAM, Ổ cứng - RAM","Bộ nhớ RAM, Ổ cứng - Loại RAM","Bộ nhớ RAM, Ổ cứng - Tốc độ Bus","Bộ nhớ RAM, Ổ cứng - Số khe RAM trống","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp RAM","Bộ nhớ RAM, Ổ cứng - Ổ cứng mặc định","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp ổ cứng",Màn hình - Số lượng màn hình,Màn hình - Kích thước màn hình,Màn hình - Độ phân giải,Màn hình - Loại tấm nền,Màn hình - Công nghệ màn hình,Màn hình - Hỗ trợ cảm ứng,Màn hình - Tần số quét,Bàn phím & Touchpad - Bàn phím,Bàn phím & Touchpad - Đèn nền bàn phím,Bàn phím & Touchpad - Chuột / Touchpad,Cổng kết nối & tính năng mở rộng - Các cổng giao tiếp,Cổng kết nối & tính năng mở rộng - Kết nối không dây,Phần mềm - Hệ điều hành,Kích thước & trọng lượng - Kích thước,Kích thước & trọng lượng - Trọng lượng,Pin và Sạc - Dung lượng pin,Pin và Sạc - Bộ sạc theo máy,Thông tin khác - Thời điểm ra mắt,Thông tin khác - Chất liệu,Camera - Camera,Đồ họa và Âm thanh - Công nghệ âm thanh,Phần mềm - Phần mềm sẵn có,Thông số kỹ thuật - Keycap (bàn phím),Kết nối & Tương thích - Cổng giao tiếp,Màn hình - Chuẩn màn hình,Thông số kỹ thuật - Loại Switch,Thông số kỹ thuật - Chất liệu,Tiện ích - Tiện ích,Thông số kỹ thuật - Đèn LED
Laptop MSI Modern 14 C12MO-660VN (I5-1235U/16GB/512GB/14.0 FHD/WIN11/Đen) - Chính hãng,"11,990,000 ₫",Intel Core i5,i5 - 1235U,10,14,1.40 Ghz,4.40 GHz,12 MB,Intel Iris Xe Graphics,GPU tích hợp,16 GB,DDR4,3200 MHz,None,Không nâng cấp,512GB SSD,+ 1 M.2 slot,1,14 inch,1920×1080,IPS,"300 nits
16:09
45% NTSC",None,60Hz,Chiclet Keyboard,Có đèn nền,Multi-touch touchpad,"1 Jack 3.5 mm
1 USB 3.2 Gen 2
2 USB 2.0
1 HDMI
1 DC-in jack
1 SD Card
1 Type C","Bluetooth v5.2
Wifi 6",Windows 11 Home,319.9 * 223 * 19.35 mm,1.4 kg,3 Cell,65 W,2023,Nhựa,HD Webcam (720p Webcam),,,,,,,,,
"Laptop Lenovo ThinkBook 16 G6 IRL 21KH00Q0VN (i5-13420H/16GB/512GB/16"" WUXGA/WIN11/XÁM) - Chính hãng","17,490,000 ₫",Intel Core i5,13420H,8,12,3.40 GHz,4.6 GHz,12MB,Integrated Intel® UHD Graphics,,16GB,DDR5,5200 MHz,Không,64 GB (tổng 2 khe),512GB SSD,Còn trống 1 Slot M.2 2242 PCIe 3.0 x4,1,16 inch,1920 x 1200,IPS,"300nits Anti-glare, 45% NTSC",Không,60Hz,"Backlit, English",,"Bàn di chuột đa điểm bề mặt Mylar® không nút, hỗ trợ Precision TouchPad (PTP), 75 x 120 mm (2,95 x 4,72 inch)","1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Luôn bật)
1x USB-C® 3.2 Gen 2 (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort™ 1.4)
1x Thunderbolt™ 4 / USB4® 40Gbps (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort™ 1.4)
1x HDMI® 2.1, lên đến 4K/60Hz
1x giắc cắm kết hợp tai nghe/micrô (3,5mm)
1x Ethernet (RJ-45)
1x đầu đọc thẻ SD","Wi-Fi 6E
Bluetooth 5.3",Windows 11 Home,356 x 253.5 x 17.5mm,1.7kg,71Wh,100W USB-C® Slim (3-pin),,Hợp kim nhôm & Nhựa,FHD 1080p + IR Hybrid với Màn trập riêng tư,"Stereo speakers, 2W x2, Dolby Audio™",Bản dùng thử Office + Absolute Home & Office Basic 1 năm,,,,,,,
Laptop Dell Inspiron 3520 (N5I5052W1) (I5 1235U/ 16GB/ 512GB/15.6 inch FHD/Win 11 Home + Office 21/ Xám) - Chính hãng,"14,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.3 GHz,4.4 GHz,12 MB,Card tích hợp - Intel Iris Xe Graphics,GPU tích hợp,16GB,DDR4,2666MHz,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)",1,15.6 inch,1920x1080,WVA,"Chống chói Anti Glare
LED Backlit
250 nits",None,120Hz,Backlit Keyboard,Không có đèn nền,Multi-touch touchpad,"1 x Jack tai nghe 3.5 mm
1 x USB 2.0
2 x USB 3.2
1 x HDMI","Bluetooth v5.0
Wi-Fi",Windows 11 Home,358.5 mm - 235.56 mm - 16.96 mm,1.66 kg,41 Wh,65 W,2023,Vỏ nhựa,HD webcam,Realtek Audio,Microsoft Office Home & Student 2021 Vĩnh Viễn,,,,,,,
"Máy tính xách tay Asus Vivobook Pro 15 OLED M3500QC-L1327W (R7-5800H/16GB on board/512GB/RTX 3050/15.6"" OLED FHD/Win11/Silver) - Chính hãng","20,990,000 ₫",AMD Ryzen 7,R7 - 5800H,8,16,3.2 Ghz,4.4 GHz,"L2 Cache: 4MB
L3 Cache: 16MB",AMD Radeon™ Graphics,RTX 3050,16GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15 inch,1920x1080,OLED,"OLED 16:9 aspect ratio, 600nits peak brightness, 100% DCI-P3 color gamut",None,60Hz,Backlit Chiclet Keyboard,Có đèn nền,Multi-touch touchpad,"1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 2.0 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in//Micro SD card reader","Bluetooth v5.0
Wi-Fi 6",Windows 11 Home,35.98 x 23.53 x 1.89 ~ 1.99 cm,1.65kg,"3-cell, 63WHrs Li-ion",,2021,Vỏ nhựa - nắp lưng bằng kim loại,720p HD camera,Harman Kardon speakers,,,,,,,,
Laptop ASUS TUF Gaming A15 FA507NU-LP131W (Ryzen 5 7535HS/16GB/1TB/RTX 4050/15.6'' FHD IPS 144Hz/Windows 11) - Chính hãng,"22,990,000 ₫",AMD Ryzen 5,R5 - 7535HS,6,12,3.30 GHz,4.55 GHz,16MB,AMD Radeon™ Graphics,RTX 4050,16GB,DDR5,4800 MHz,1 khe,32GB,1TB SSD,Thay thế SSD mặc định theo nhu cầu sử dụng,1,15.6 inch,1920x1080,IPS,"Màn hình chống chói
sRGB:100%, Adobe:75.35%
G-Sync, MUX Switch + NVIDIA® Advanced Optimus",None,144Hz,Bàn phím tiêu chuẩn,Backlit 1-Zone RGB Keyboard,Multi-touch touchpad,"1 giắc cắm âm thanh combo 3,5mm
1x HDMI 2.1 FRL
2 x USB 3.2 Thế hệ 1 Loại A
1x USB 3.2 Thế hệ 2 Loại C hỗ trợ DisplayPort / power delivery / G-SYNC
1 x cổng RJ45 LAN
1x Type C USB 4 support DisplayPort","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,35.4 x 25.1 x 2.24 ~ 2.49 cm,2.20kg,90WHrs,"ø6.0, Bộ nguồn 240W AC, Đầu ra: 20V DC, 12A, 240W, Đầu vào: 100~240C AC 50/60Hz",2023,"Vỏ nhựa, nắp lưng bằng kim loại",HD 720P,"Âm thanh của Dolby Atmos
AI mic khử tiếng ồn
Chứng nhận Màn hình Độ phân giải cao
Micrô array tích hợp
Hệ thống 2 loa",,6GB GDDR6,DDR5,,,,,
Laptop Lenovo IdeaPad Slim 3 16IRH10 83K20001VN (I7-13620H/16GB/512GB/16.0 WUXGA/WIN11/XÁM) - Chính hãng,"18,490,000 ₫",Intel Core i7,i7 - 13620H,10,16,2.4 GHz,4.9 GHz,24MB Smart Cache,Intel® UHD Graphics,GPU tích hợp,16GB,DDR5,4800MHz,Không,"(1x SO-DIMM socket, up to 24GB SDRAM)",512GB SSD,Hỗ trợ 2 khe M.2 SSD,1,16 inch,1920 x 1200,IPS,"Anti-glare, 45% NTSC, 300 nits",Không,60Hz,Full-size,Có,Multi-touch touchpad,"1 x USB-C 3.2 Gen1 (hỗ trợ dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)
2 x USB-A 3.2 Gen 1
1 x HDMI 1.4b
1 x jack tai nghe/mic 3.5mm
1 x khe đọc thẻ SD","Wi-Fi 6 802.11ax
Bluetooth 5.1",Windows 11 Home Single Language,360 x 251 x 16.9-17.9 mm,1.73 kg,"3-cell Li-ion, 60Wh","Adapter 65W, đầu tròn 3-pin",03/2023,"Nắp máy bằng nhôm, đáy bằng nhựa PC-ABS",Camera privacy shutter,"Stereo speakers, Dolby Audio",,,,WUXGA,,,,
"Laptop HP Pavilion 14-dv2072TU-7C0W1PA, i7-1255U/8GB/512GB/Intel Graphics,14""FHD/Win11 Home 64/Vàng - Chính hãng","16,990,000 ₫",Intel Core i7,i7 - 1255U,10,12,1.2 GHz,4.7 MHz,12MB,Card tích hợp - Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,None,16 GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1080,IPS,"Micro-edge, BrightView, 250nits, 45%NTSC",None,60Hz,Bàn phím tiêu chuẩn,Không có đèn nền,Multi-touch touchpad,"2 x SuperSpeed USB Type-A 5Gbps signaling rate;
1 x HDMI 2.0 via Type-C™
1 x headphone/microphone combo","Bluetooth v5.2
Wi-Fi 6",Windows 11 Home,32.5 x 21.66 x 1.7 cm,1.4kg,"3-cell, 43 Wh Li-ion",,2022,Vỏ nhựa - nắp lưng bằng kim loại,HP True Vision 720p HD,2 loa,,,,,,,,
Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN ( i5-13420H/16GB/512GB/14 inch WUXGA/Win 11/Xám) - Chính hãng,"14,790,000 ₫",Intel Core i5,i5 - 13420H,8,12,1.5 Ghz,4.6 GHz,18MB,Intel® UHD Graphics,GPU tích hợp,16GB,DDR5,4800 MHz,None,Up to 24GB (8GB soldered + 16GB SO-DIMM),512GB SSD,"Up to two drives, 2x M.2 SSD
• M.2 2242 SSD up to 1TB",1,14 inch,1920 x 1200,IPS,"300nits Anti-glare, 45% NTSC",None,,Bàn phím tiêu chuẩn,,Multi-touch touchpad,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-C® (USB 5Gbps / USB 3.2 Gen 1), with USB PD 3.0 and DisplayPort™ 1.2
1x HDMI® 1.4
1x Headphone / microphone combo jack (3.5mm)
1x SD card reader
1x Power connector","Wi-Fi® 6, 802.11ax 2x2 + BT5.2",Windows® 11 Home Single Language,314.4 x 222.1 x 16.9-17.9 mm,1.43 kg,60Wh,65W Round Tip (3-pin),,Aluminium,HD 720p with Privacy Shutter,"Stereo speakers, 2W x2, optimized with Dolby Audio™",,,,WUXGA,,,,
Laptop Gaming Acer Aspire 7 A715-43G-R8GA (R5-5625U/8GB/512GB/15.6FHD144HZ/RTX3050/W11SL/Đen) (NH.QHDSV.002) - Chính hãng,"14,990,000 ₫",AMD Ryzen 5,R5 - 5625U,6,12,2.3Ghz,Turbo Boost 4.3 GHz,16GB,,RTX 3050,8GB,DDR4,3200Mhz,None,32GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",,15.6 inch,1920x1080,IPS,Acer ComfyView,None,144Hz,Bàn phím tiêu chuẩn,,Multi-touch touchpad,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)","Bluetooth v5.2
Wi-Fi 6E",Windows 11 Home SL,Dài 363.4 mm - Rộng 254.5 mm - Dày 22.9 mm,2.1kg,50 Wh,,2022,Vỏ nhựa,,Stereo speakers,,4 GB,DDR4 2 khe (1 khe 8 GB + 1 khe rời),,,,,
Laptop ASUS Zenbook A14 (UX3407QA-QD299WS) (X1-26-100/16GD5X/512GB/14.0_WUXGA/OLED/WiFi6E/BT5/3C70WHrs/W11SL/TÚI/BE) - Chính hãng,"28,990,000 ₫",Snapdragon X - X1 26 100,,8,8,,2.97 GHz,30MB,Qualcomm® Adreno™ GPU,,16 GB,LPDDR5X,,,,512 GB SSD NVMe PCIe,,1,14 inch,1920 x 1200,OLED,"Thời gian phản hồi 0.2 ms
Màn hình bảo vệ mắt - EYE CARE
Chuẩn DisplayHDR True Black 600
Low Blue Light
LED Backlit
400 nits
600 nits (Khi bật HDR)
1.07 tỷ màu",Không,60 Hz,"Bàn phím Chiclet
Hành trình phím 1.3mm",Có (màu trắng),Chuột cảm ứng chính xác,"1x USB 3.2 Thế hệ 2 Loại A (tốc độ truyền dữ liệu lên tới 10Gbps)
2x USB 4.0 Gen 3 Type-C hỗ trợ màn hình / power delivery (tốc độ truyền dữ liệu lên tới 40Gbps)
1x HDMI 2.1 TMDS
1x Giắc Âm thanh Kết hợp 3,5 mm",Wi-Fi 6E (802.11ax),Windows 11 Home SL,310.7 x 213.9 x 13.4 ~ 15.9 mm,0.98 kg,"70WHrs
3S1P
3-cell Li-ion","TYPE-C
Bộ nguồn Ultra Mini 65W AC
Đầu ra: 20V DC, 3.25A, 65W
Đầu vào: 100-240V AC 50/60Ghz chung",2025,Nhôm - Magie,Máy ảnh FHD có chức năng IR để hỗ trợ Windows Hello,Công nghệ Smart AMP,"Office Home & Student 2024 vĩnh viễn
Microsoft 365 Basic",,,2K,,,,
"Laptop ASUS Vivobook 15 OLED A1505VA-L1201W (i9-13900H/16GB/512GB /15.6"" FHD OLED/Windows 11) - Chính hãng","20,990,000 ₫",Intel Core i9,i9 - 13900H,14,20,"2,6 GHz","5,4 GHz",24MB,Intel Iris Xe,GPU tích hợp,16GB,DDR4,3200Mhz,1 khe,16GB,512GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn,1,15.6 inch,1920x1080,OLED,"Tấm nền OLED
Tỉ lệ 16:9
Thời gian phản hồi 0.2ms
Độ sáng cực đại tối đa 600nits
Độ phủ màu 100% DCI-P3
Tỉ lệ tương phản 1,000,000:1,
Màn hình 1.07 tỉ màu",None,60Hz,Backlit Chiclet Keyboard,Có đèn nền,Multi-touch touchpad,"1x USB 2.0 Loại A
1x USB 3.2 Thế hệ 1 Loại C hỗ trợ power delivery
2x USB 3.2 Thế hệ 1 Loại A
1x HDMI 1.4
1x Giắc Âm thanh Kết hợp 3,5 mm
1x Nguồn vào DC","Wi-Fi 6E
Bluetooth 5.3",Windows 11 Home,35.68 x 22.76 x 1.99 ~ 1.99 cm,1.70kg,50WHrs,"ø4.5, Bộ đổi nguồn AC 65W, Đầu ra: 19V DC, 3,42A, 65W, Đầu vào: 100~240V AC 50/60Hz phổ thông
Bộ nguồn 65W AC (đi kèm với bộ vi xử lý ADL P series)",2023,,720p HD,"SonicMaster
Loa tích hợp
Micrô array tích hợp
hỗ trợ nhận dạng giọng Cortana",,,DDR4,,,,,
"Laptop MSI Katana 15 B13VFK-676VN (i7-13620H/16GB/1TB/RTX 4060/15.6"" FHD 144Hz/Windows 11/Ba lô) - Chính hãng","25,490,000 ₫",Intel Core i7,i7 - 13620H,10,16,2.40 GHz,4.90 GHz,12 MB,Đồ họa Intel® Iris® Xe,RTX 4060,16GB,DDR5,5200 MHz,Không,64GB,1TB SSD,2x M.2 SSD slot (NVMe PCIe Gen4),1,15.6 inch,1920x1080,IPS,Độ phủ màu 45% NTSC,None,144Hz,Chiclet Keyboard,4-Zone RGB,Multi-touch touchpad,"1x Mic-in/Headphone-out Combo Jack
1x Type-C (USB3.2 Gen1 / DP)
2x Type-A USB3.2 Gen1
1x Type-A USB2.0
1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,359 x 259 x 24.9 mm,2.25kg,53.5 Whrs,200W,2023,Vỏ nhựa,720p HD camera,"2 loa 2W
Nahimic 3 Audio Enhancer
Hi-Res Audio Ready",,8GB GDDR6,DDR5,,24MB,,,
Laptop Gaming MSI Thin 15 (B13UC-1411VN) (I7-13620H/ 8GB/512GB/RTX 3050/15.6' FHD 144HZ/WIN 11/Xám/Ba lô) - Chính hãng,"18,990,000 ₫",Intel Core i7,i7 - 13620H,10,16,3.6GHz,4.9GHz,24MB,Card tích hợp - Intel UHD Graphics,RTX 3050,8GB,DDR4,3200 MHz,1 khe,64GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)",,15.6 inch,1920x1080,IPS,"IPS-Level, 45% NTSC, 65% sRGB",None,144Hz,Chiclet Keyboard,Bàn phím có đèn nền đơn (Xanh lam),Multi-touch touchpad,"1x Type-C (USB3.2 Gen1 / DP)
3x Type-A USB3.2 Gen1
1x HDMI™ (4K @ 30Hz)
1x RJ45","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,359mm x 254mm x 21.7mm,1.86kg,52.4Whr,,2023,Vỏ nhựa - nắp lưng bằng kim loại,HD type (30fps@720p),"Nahimic™, Hi-Res™ Audio",,,,,,,,
"Laptop Dell Vostro 3520 (71030559) - (i5-1235U/16GB/512GB/15.6"" FHD 120Hz/Windows 11 + Office) - Chính hãng","13,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.3 GHz,4.40 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,16GB,DDR4,2666MHz,Không,Không hỗ trợ nâng cấp,512GB SSD,Có thể nâng cấp SSD mặc định lên dung lượng cao hơn chuẩn M.2.,1,15.6 inch,1920x1080,WVA,"Anti-Glare, 250 nit, Narrow Border, LED-Backlit",None,120Hz,Bàn phím tiêu chuẩn,Không có đèn,Multi-touch touchpad,"2 x USB-A 3.2 Gen 1
1 x USB-A 2.0
1 x Jack tai nghe
1 x HDMI 1.4
1 x RJ45 Ethernet
1 x Khe thẻ SD","Wi-Fi 5
Bluetooth v5.1",Windows 11 Home,358.50 x 235.56 22.47 mm,1.66kg,"3 Cell, 41 Wh",,2024,Vỏ nhựa,HD 720p,Loa kép 2W x 2,Office Home & Student 2021 vĩnh viễn,,DDR4,,,,,
"Laptop Gaming Acer Nitro V - ANV15-51-58AN (NH.QNASV.001) - (i5-13420H/8GB/512GB/RTX 2050/15.6"" FHD 144Hz/Windows 11) - Chính hãng","16,490,000 ₫",Intel Core i5,i5 - 13420H,8,12,3.40 GHz,4.60 GHz,12MB,,RTX 2050,8GB,DDR5,5200MHz,1 khe,32GB,512GB SSD,SSD có thể thay thế. Tối đa 2TB,,15.6 inch,1920x1080,IPS,Acer ComfyView SlimBezel,,144Hz,Bàn phím tiêu chuẩn,LED Trắng,Multi-touch touchpad,"1 x USB-C hỗ trợ: USB 3.2 Gen 2 (lên tới 10 Gbps), DisplayPort , Thunderbolt 4
3 x USB-A hỗ trợ USB 3.2 Gen 1
1 x HDMI 2.1 port hỗ trợ HDCP
1 x Jack 3.5 mm
1 x Ethernet (RJ-45)","Dual Band (2.4 GHz and 5 GHz)
Bluetooth v5.1",Windows 11 Home,362.3 x 239.89 x 22.9 mm,2.1kg,57WHr,,,Nhựa,HD 720p,DTS X:Ultra,,4GB GDDR6,DDR5,,,,,
"Máy tính xách tay Asus Vivobook Flip 14 TM420UA-EC181W (R5-5500U/4GB on board + 4GB/512GB/AMD Radeon /14"" FHD Touch/Win11/Bespoke Black) - Chính hãng","11,990,000 ₫",AMD Ryzen 5,R5 - 5500U,6,12,2.1 GHz,4.0GHz,L3 Cache: 8MB,AMD Radeon Graphics,GPU tích hợp,8GB,DDR4,3200MHz,Không,Hỗ trợ tối đa 20GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1080,IPS,"Độ phủ màu 45% NTSC, độ sáng 450 nits, Touch cảm ứng, xoay 360 độ, viền mỏng, phủ gương cường lực.",Touch,60Hz,Đang cập nhật,Không có,"Multi-touch touchpad, NUMBERPAD 2.0","1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in
1x USB 2.0 Type-A
1x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 2 Type-C","Wi-Fi 6
Bluetooth v5.0",Windows 11 Home,32.40 x 22.00 x 1.82 ~ 1.82 cm,1.5Kg,"3 cell, 42WHrs",Đang cập nhật,2022,Nhựa,720p HD camera,Harman-kardon,Đang cập nhật,,,,,,,
Laptop Gaming Acer Nitro 5 Tiger AN515-58-769J (i7-12700H/8GD4/512GSSD/15.6FHD_144/W11/4GD6_RTX3050/ĐEN((NH.QFHSV.003) - Chính hãng,"21,990,000 ₫",Intel Core i7,i7 - 12700H,14,20,2.3Ghz,4.7Ghz,24MB,,RTX 3050,8GB,DDR4,3200Mhz,1 khe,32GB,512GB SSD,Có thể nâng cấp,,15.6 inch,1920x1080,IPS,Acer ComfyView LED-backlit,None,144Hz,Bàn phím tiêu chuẩn,,Multi-touch touchpad,"1 DC-in jack
1 HDMI 2.1
1 Jack 3.5 mm
1 LAN
1 Type C
3 USB 3.2 Gen 1","Wifi 6
Bluetooth v5.2",Windows 11 Home Single Language,360.4 x 271.09 x 25.9 mm,2.5kg,57.5Whz,,2022,Vỏ máy: Nhựa Polycarbonate,,,,4 GB GDDR6,DDR4,,,,,
Laptop Lenovo IdeaPad Slim 5 15ARP10 83J3001DVN (R7-7735HS/16GB/512GB/AMD Radeon™ 680M/15.1inch WQXGA/Win 11/Xám) - Chính hãng,"20,490,000 ₫",AMD Ryzen 7,R7 - 7735HS,8,16,3.2 GHz,4.75 GHz,16MB,AMD Radeon™ 680M Graphics,GPU tích hợp,16GB,LPDDR5X,6400 MHz,Không,Không hỗ trợ nâng cấp,512GB SSD,"Up to two drives, 2x M.2 SSD
• M.2 2242 SSD up to 1TB",1,15.1 inch,2560x1600,OLED,"500nits Glossy, 100% DCI-P3, DisplayHDR™ True Black 600",None,165Hz,Bàn phím tiêu chuẩn,Có đèn nền,Multi-touch touchpad,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.0 and DisplayPort™ 1.4
1x HDMI® 2.1, up to 4K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x microSD card reader","Wi-Fi® 6, 802.11ax 2x2 + BT5.3",Windows® 11 Home Single Language,339.33 x 236 x 15.6 mm,1.49 kg,70Wh,65W USB-C® Slim,,Aluminium,"FHD 1080p + IR with Privacy Shutter, ToF Sensor","Stereo speakers, 2W x2, optimized with Dolby Audio™",,,,WUXGA,,,,
Laptop Gaming Lenovo LOQ 15IRX9 (83DV00D5VN) (i7-13650HX/RTX4050/16GB/512GB/15.6 FHD 144Hz/Win11/Xám) - Chính hãng,"27,990,000 ₫",Intel Core i7,i7 - 13650HX,14,20,2.60 GHz,Turbo Boost 4.9 GHz,24 MB,,"NVIDIA GeForce RTX 4050, 6 GB",16GB,DDR5,4800 MHz,1 khe,32 GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15.6 inch,1920x1080,IPS,"G-Sync
Chống chói Anti Glare
Độ sáng 300 nits",None,144Hz,Full-size,Đèn chuyển màu RGB - 4 vùng,Multi-touch touchpad,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)","Bluetooth v5.2
Wi-Fi 6",Windows 11 Home SL,359.86 mm x 258.7 mm x 23.9 mm,2.38 kg,60 Wh,170 W,2023,Vỏ nhựa,Full HD Webcam,Nahimic Audio,,,,,,,,
"Laptop ASUS Vivobook 14 OLED M1405YA-KM047W (Ryzen 5 7530U/8GB/512GB/14"" 2.8K OLED 90Hz/Windows 11) - Chính hãng","13,490,000 ₫",AMD Ryzen 5,R5 - 7530U,6,12,2.0 GHz,4.5 GHz,19MB,AMD Radeon,GPU tích hợp,8GB,DDR4,3200MHz,1 khe,16GB,512GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn,1,14 inch,2880x1800,OLED,"Tỉ lệ 16:10
Độ sáng 600 nit
1 tỉ màu
Độ phủ màu 100% DCI-P3
Độ tương phản 1,000,000:1
Thời gian phản hồi 0.2ms
Đạt chuẩn PANTONE Validated, VESA CERTIFIED True Black 600 HDR, SGS Eye Protector
Giảm 70% ánh sáng xanh",None,90Hz,Bàn phím tiêu chuẩn,Có đèn nền,Multi-touch touchpad,"1x USB 2.0 Loại A
1x USB 3.2 Thế hệ 1 Loại C hỗ trợ power delivery
2x USB 3.2 Thế hệ 1 Loại A
1x HDMI 1.4
1x Giắc Âm thanh Kết hợp 3,5 mm
1x Nguồn vào DC","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,31.71 x 22.20 x 1.99 ~ 1.99 cm,1.60kg,50WHrs,"ø4.5, Bộ nguồn 45W AC, Đầu ra: 19V DC, 2.37A, 45W, Đầu vào: 100~240V AC 50/60 Hz",2023,,720p HD,"SonicMaster
Loa tích hợp
Micrô array tích hợp",,,DDR4,,,,,
"Laptop Lenovo LOQ 15IRH8 (82XV00QPVN) - (i5-12450H/16GB/512GB/RTX 2050/15.6"" FHD IPS 144Hz/Windows 11) - Chính hãng","18,490,000 ₫",Intel Core i5,i5 - 12450H,8,12,"P-core 2.0 GHz, E-core 1.5 GHz","P-core 4.4 GHz, E-core 3.3 GHz",12MB,,RTX 2050,16GB,DDR4,4800 MHz,Không,32GB,512GB SSD,2 x M.2 2242 SSD tối đa 1TB,1,15.6 inch,1920x1080,IPS,"Độ sáng tối đa 350nits
Màn hình chống chói
Độ phủ màu 45% NTSC
NVIDIA G-SYNC",None,144Hz,Bàn phím tiêu chuẩn,4-Zone RGB,Multi-touch touchpad,"1x USB 3.2 Gen 1
2x USB 3.2 Gen 2
1x USB-C 3.2 Gen 2 (hỗ trợ truyền dữ liệu, Power Delivery 140W & DisplayPort 1.4)
1x HDMI 2.1, tối đa 8K/60Hz
1x Ethernet (RJ-45)
1x Jack âm thanh (3.5mm)
1x Cổng nguồn","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home,359.6 x 264.8 x 22.1-25.2 mm,2.4kg,60Wh,135W Slim Tip (3-pin),,Nhựa,FHD 1080p,"Loa kép, 2W x2, được tối ưu bởi Nahimic Gaming Audio",,4GB GDDR6,DDR5,,,,,
